name,record,height,weight,reach,stance,dob
Brandon Davis,14-10-0,"5' 10""",135 lbs.,"72""",Orthodox,"May 08, 1990"
Mike Davis,10-2-0,"6' 0""",155 lbs.,"72""",Orthodox,"Oct 07, 1992"
Hakeem Dawodu,13-4-1,"5' 8""",145 lbs.,"73""",Orthodox,"Jul 02, 1991"
Grant Dawson,20-2-1,"5' 10""",155 lbs.,"72""",Switch,"Feb 20, 1994"
Jason Day,19-12-0,"6' 0""",185 lbs.,"72""",Orthodox,"May 19, 1981"
Martin Day,8-6-0,"5' 10""",145 lbs.,"73""",Orthodox,"Nov 10, 1988"
Angel De Anda,18-6-0,"5' 9""",225 lbs.,--,Orthodox,"May 28, 1985"
Yorgan De Castro,6-3-0,"6' 0""",250 lbs.,"74""",Orthodox,"Dec 19, 1986"
Geraldo de Freitas,12-6-0,"5' 7""",135 lbs.,"72""",Orthodox,"Sep 30, 1991"
Philip De Fries,12-6-0 (1 NC),"6' 5""",250 lbs.,"79""",Orthodox,"Apr 21, 1986"
Chris de la Rocha,5-3-0,"6' 3""",250 lbs.,"80""",Orthodox,"May 15, 1979"
Montana De La Rosa,12-9-1,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 14, 1995"
Mark De La Rosa,11-5-0,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 31, 1994"
Mike de la Torre,14-7-0 (1 NC),"5' 11""",145 lbs.,"71""",Orthodox,"Sep 22, 1986"
Rodrigo de Lima,8-3-1,"5' 7""",155 lbs.,--,Orthodox,"Mar 12, 1991"
Edilberto de Oliveira,29-15-2,"6' 0""",170 lbs.,--,Orthodox,"Nov 22, 1982"
Johil de Oliveira,17-15-1 (1 NC),"5' 6""",170 lbs.,--,Orthodox,--
Jorge de Oliveira,9-2-0,"5' 8""",155 lbs.,--,Orthodox,"Jan 22, 1980"
Isabela de Padua,5-2-0,"5' 3""",125 lbs.,"64""",Orthodox,"Sep 04, 1991"
Gloria de Paula,6-5-0,"5' 5""",115 lbs.,"67""",Orthodox,"Jun 10, 1995"
Germaine de Randamie,10-4-0,"5' 9""",135 lbs.,"71""",Orthodox,"Apr 24, 1984"
Crezio de Souza,1-2-0,--,170 lbs.,--,Orthodox,--
Carl Deaton,17-7-0 (2 NC),"5' 7""",155 lbs.,"69""",Orthodox,"Nov 24, 1989"
Tom DeBlass,9-2-0,"6' 0""",185 lbs.,--,Orthodox,"May 14, 1982"
Issac DeJesus,12-7-1 (1 NC),--,145 lbs.,--,,--
Rafael  Del Real,6-20-0,"5' 11""",225 lbs.,--,,--
Shane del Rosario,11-2-0,"6' 4""",250 lbs.,--,Southpaw,"Sep 23, 1983"
Wallen Del Rosario,8-2-0,"5' 4""",125 lbs.,"67""",Orthodox,"Mar 18, 1993"
Humberto DeLeon,7-7-0,--,135 lbs.,--,,"Nov 12, 1989"
Rolando Delgado,11-6-1,"6' 3""",155 lbs.,"77""",Orthodox,"Nov 22, 1981"
Israel Delgado,0-2-0,"5' 10""",155 lbs.,--,,--
Ante Delija,17-3-0,"6' 4""",245 lbs.,--,Orthodox,"Aug 07, 1990"
Jack Della Maddalena,16-2-0,"5' 11""",170 lbs.,"73""",Switch,"Sep 10, 1996"
Roland Delorme,9-5-0 (1 NC),"5' 9""",135 lbs.,"71""",Orthodox,"Dec 18, 1983"
Jon Delos Reyes,8-5-0,"5' 6""",125 lbs.,"67""",Orthodox,"Aug 19, 1987"
Jason DeLucia,33-21-1,"5' 11""",190 lbs.,--,Southpaw,"Jul 24, 1969"
Justin DeMoney,15-7-1,--,170 lbs.,--,,"Jul 01, 1985"
Vanessa Demopoulos,10-5-0,"5' 2""",115 lbs.,"59""",Orthodox,"Sep 22, 1988"
Chris Dempsey,11-5-0,"5' 10""",185 lbs.,"72""",Orthodox,"Sep 08, 1987"
Nick Denis,11-3-0,"5' 7""",135 lbs.,--,Orthodox,"Oct 11, 1983"
Thomas Denny,27-21-1,"5' 10""",170 lbs.,--,Orthodox,"Apr 19, 1971"
Robert Densley,9-10-0,"5' 9""",155 lbs.,--,,--
Jason Dent,22-13-0,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 12, 1980"
Mackenzie Dern,13-4-0,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993"
Booker DeRousse,6-5-0,"6' 2""",205 lbs.,--,,"Mar 23, 1981"
Tony DeSouza,11-4-0,"6' 0""",170 lbs.,"70""",Southpaw,"Jul 26, 1974"
Robelis Despaigne,4-0-0,--,265 lbs.,--,,"Sep 09, 1988"
Cory Devela,16-7-0,"5' 0""",185 lbs.,--,Orthodox,--
John Devine,6-4-0,--,--,--,,--
Edwin DeWees,38-17-0 (1 NC),"6' 1""",185 lbs.,--,Orthodox,"Aug 07, 1982"
Alessio Di Chirico,13-7-0,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989"
Micol Di Segni,7-3-0,"5' 3""",115 lbs.,"60""",Orthodox,"Dec 29, 1987"
Cyrille Diabate,19-10-1,"6' 6""",205 lbs.,"81""",Southpaw,"Oct 06, 1973"
Thomas Diagne,6-6-1,"6' 1""",154 lbs.,--,,"Sep 03, 1983"
Marc Diakiese,17-7-0,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 16, 1993"
Tyler Diamond,9-1-0,"5' 7""",145 lbs.,"69""",Orthodox,"Mar 18, 1991"
Blood Diamond,3-3-0,"5' 11""",170 lbs.,"76""",Switch,"Jul 10, 1988"
Eldo Xavier Dias,0-1-0,"5' 11""",180 lbs.,--,,"Jul 16, 1964"
Rafael Dias,17-12-2,"5' 9""",145 lbs.,--,Orthodox,"Oct 20, 1979"
Hacran Dias,23-6-1,"5' 8""",155 lbs.,"69""",Orthodox,"Jun 16, 1984"
Victor Dias,11-3-0,"5' 6""",125 lbs.,"69""",Orthodox,"Dec 26, 1990"
Nick Diaz,26-10-0 (2 NC),"6' 1""",170 lbs.,"76""",Southpaw,"Aug 02, 1983"
Nate Diaz,22-13-0,"6' 0""",170 lbs.,"76""",Southpaw,"Apr 16, 1985"
Michael Diaz,1-2-0,--,260 lbs.,--,,--
Ryan Diaz,13-14-0,--,145 lbs.,--,,--
Adrian Diaz,11-4-1,"5' 10""",145 lbs.,--,Southpaw,"Apr 26, 1988"
Ozzy Diaz,7-2-0,"6' 4""",185 lbs.,"79""",Orthodox,"Nov 22, 1990"
Mark Dickman,11-3-0,"5' 9""",145 lbs.,--,,"Jul 19, 1984"
Josh Diekmann,15-8-0 (1 NC),"5' 4""",246 lbs.,--,,"Oct 09, 1976"
Kyle Dietz,5-2-0,"5' 8""",135 lbs.,--,Orthodox,"Apr 29, 1986"
Seth Dikun,9-8-0,"5' 10""",135 lbs.,"69""",Orthodox,"Aug 05, 1980"
TJ Dillashaw,18-5-0,"5' 6""",135 lbs.,"67""",Orthodox,"Feb 07, 1986"
Ralph Dillon,0-2-1,"6' 2""",205 lbs.,--,Orthodox,--
Drew Dimanlig,3-4-0,--,185 lbs.,--,,--
Rodolfo Marques Diniz,23-9-1,"5' 6""",135 lbs.,--,,"Jan 23, 1984"
Jhonata Diniz,6-0-0,"6' 4""",254 lbs.,"79""",Orthodox,"Jun 23, 1991"
Helio Dipp,6-3-0,"6' 5""",185 lbs.,--,Orthodox,--
Rico DiSciullo,9-2-0 (1 NC),"5' 8""",135 lbs.,--,Orthodox,"Oct 12, 1986"
Matt Dixon,9-1-0,"5' 10""",170 lbs.,"75""",Switch,"Oct 09, 1995"
Melissa Dixon,6-0-0,"5' 7""",135 lbs.,"68""",Orthodox,"Jul 23, 1991"
John Dixson,15-22-0,"6' 0""",275 lbs.,--,Orthodox,--
Anthony Do,4-2-0,"5' 4""",125 lbs.,--,,--
Russell Doane,15-8-0,"5' 7""",135 lbs.,"70""",Orthodox,"Aug 13, 1986"
Drew Dober,27-12-0 (1 NC),"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988"
Shana Dobson,4-5-0,"5' 6""",125 lbs.,"69""",Orthodox,"Mar 30, 1989"
AJ Dobson,7-2-0 (1 NC),"6' 1""",185 lbs.,"76""",Orthodox,"Jan 18, 1992"
David Dodd,4-7-0,"6' 2""",200 lbs.,--,Orthodox,"Sep 22, 1973"
John Dodson,22-12-0,"5' 3""",135 lbs.,"66""",Orthodox,"Sep 26, 1984"
Joe Doerksen,51-16-0,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 09, 1977"
Mike Dolce,5-10-0,"5' 11""",185 lbs.,--,,"Apr 15, 1976"
Roman Dolidze,12-2-0,"6' 2""",185 lbs.,"76""",Orthodox,"Jul 15, 1988"
Cameron Dollar,11-5-0,"5' 11""",155 lbs.,--,Orthodox,"May 12, 1987"
CB Dollaway,17-9-0,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983"
Dennis Dombrow,7-5-0 (1 NC),--,145 lbs.,--,,"Mar 17, 1986"
OJ Dominguez,0-1-0,--,--,--,,--
John Donaldson,2-2-0,"5' 8""",145 lbs.,--,,"Jul 09, 1992"
Cody Donovan,8-5-0,"6' 3""",205 lbs.,"74""",Orthodox,"Feb 20, 1981"
Houston Dorr,1-2-0,"6' 1""",210 lbs.,--,Orthodox,--
Rafael Dos Anjos,32-15-0,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 26, 1984"
Junior Dos Santos,21-9-0,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984"
Geronimo dos Santos,39-19-0,"6' 3""",264 lbs.,--,Orthodox,"Aug 17, 1980"
Antonio Dos Santos,6-4-0,"5' 10""",185 lbs.,--,Orthodox,"Jul 21, 1988"
Anderson Dos Santos,21-9-0,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985"
Acacio Dos Santos,14-5-0,"6' 4""",205 lbs.,"79""",Orthodox,"Sep 29, 1991"
Felipe dos Santos,7-1-0 (1 NC),"5' 7""",125 lbs.,"70""",Orthodox,"Sep 11, 2000"
Tiago dos Santos e Silva,20-7-2 (1 NC),"5' 9""",145 lbs.,"70""",Orthodox,"Apr 12, 1987"
Oleksandr Doskalchuk,10-2-0,"5' 6""",125 lbs.,--,Southpaw,"Mar 13, 1990"
David Douglas,9-7-0,"5' 11""",155 lbs.,--,,"Aug 16, 1981"
Damion Douglas,4-1-0,--,170 lbs.,--,,--
Cedric Doumbe,2-0-0,"5' 10""",170 lbs.,--,,"Aug 13, 1992"
John Dowdy,0-1-0,--,--,--,,--
Jordan Dowdy,4-3-0,--,170 lbs.,--,,--
Danny Downes,8-3-0,"6' 0""",155 lbs.,"72""",Orthodox,"Apr 08, 1986"
Derek Downey,11-4-0,"6' 1""",185 lbs.,--,Orthodox,"Apr 27, 1980"
John Doyle,11-22-0 (1 NC),"5' 11""",205 lbs.,--,Orthodox,"Nov 21, 1976"
Edson Drago,11-7-0,"6' 4""",220 lbs.,--,Orthodox,"Aug 29, 1977"
Kyle Driscoll,12-3-0,"5' 11""",145 lbs.,"74""",Orthodox,"Sep 23, 1994"
Chris Drumm,0-1-0 (1 NC),"5' 8""",145 lbs.,--,,--
Tomasz Drwal,21-5-1,"6' 1""",205 lbs.,"76""",Orthodox,"Jan 22, 1982"
Robert Drysdale,7-0-0 (1 NC),"6' 3""",205 lbs.,--,Orthodox,"Oct 05, 1981"
Dricus Du Plessis,21-2-0,"6' 1""",185 lbs.,"76""",Switch,"Jan 14, 1994"
Hugo Duarte,6-3-0,"6' 0""",240 lbs.,--,Orthodox,"Aug 09, 1968"
Antonio Duarte,19-7-0,"5' 7""",135 lbs.,--,,--
Joe Duarte,10-4-0,--,155 lbs.,--,,"Jan 25, 1977"
Emily Ducote,13-8-0,"5' 2""",115 lbs.,"63""",Orthodox,"Jan 01, 1994"
Viktoriia Dudakova,8-0-0,"5' 5""",115 lbs.,"67""",Orthodox,"Jan 26, 1999"
Milana Dudieva,11-6-0,"5' 3""",135 lbs.,--,Orthodox,"Aug 04, 1989"
Adin Duenas,6-1-0,"5' 6""",145 lbs.,--,,"Jul 02, 1988"
Todd Duffee,9-3-0 (1 NC),"6' 3""",260 lbs.,"78""",Orthodox,"Dec 06, 1985"
Joe Duffy,16-5-0,"5' 10""",155 lbs.,"73""",Orthodox,"Feb 18, 1988"
Alexis Dufresne,6-3-0,"5' 9""",135 lbs.,--,Orthodox,"Aug 31, 1990"
Jessamyn Duke,3-5-0 (1 NC),"5' 11""",135 lbs.,"73""",Orthodox,"Jun 24, 1986"
Isaac Dulgarian,6-0-0,"5' 7""",145 lbs.,"71""",Orthodox,"Jul 04, 1996"
Kelly Dullanty,4-2-0,"5' 8""",155 lbs.,--,Orthodox,"Nov 04, 1977"
Sedriques Dumas,9-1-0,"6' 2""",185 lbs.,"79""",Orthodox,"Aug 06, 1995"
Norma Dumont,10-2-0,"5' 7""",135 lbs.,"67""",Orthodox,"Oct 01, 1990"
Chris Duncan,11-1-0,"5' 10""",155 lbs.,"71""",Orthodox,"May 10, 1993"
Christian Leroy Duncan,9-1-0,"6' 2""",185 lbs.,"79""",Switch,"Jul 24, 1995"
Evan Dunham,18-9-1,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981"
Alex Dunworth,2-2-0 (1 NC),"5' 8""",155 lbs.,--,,--
Tom Duquesnoy,16-2-0 (1 NC),"5' 7""",135 lbs.,"68""",Orthodox,"Jun 21, 1993"
Albert Duraev,16-5-0,"5' 11""",185 lbs.,"75""",Orthodox,"Jan 05, 1989"
Reuben Duran,11-7-1,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 02, 1983"
Cody Durden,16-5-1,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 29, 1991"
Luiz Dutra,13-6-1,"5' 11""",170 lbs.,--,Orthodox,"May 06, 1982"
Rilley Dutro,11-4-0,"5' 8""",125 lbs.,--,Orthodox,"Sep 03, 1987"
Bill Duvall,1-2-0,"6' 2""",185 lbs.,--,Southpaw,--
Merab Dvalishvili,16-4-0,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991"
David Dvorak,20-6-0,"5' 5""",125 lbs.,"68""",Orthodox,"Jun 05, 1992"
Matt Dwyer,9-4-0,"6' 4""",170 lbs.,"76""",Orthodox,"Dec 17, 1989"
Rolando Dy,9-7-1 (1 NC),"5' 8""",145 lbs.,"69""",Orthodox,"Aug 11, 1990"
Ben Earwood,12-3-0,"5' 8""",170 lbs.,--,Orthodox,--
Cody East,12-3-0,"6' 3""",245 lbs.,--,Orthodox,"Jun 29, 1988"
Marvin Eastman,18-15-1,"5' 9""",185 lbs.,"73""",Orthodox,"Jun 08, 1971"
Mike Easton,13-6-0,"5' 6""",135 lbs.,"70""",Southpaw,"Jan 25, 1984"
Maurice Eazel,7-15-0,"5' 7""",135 lbs.,--,,--
Vincent Eazelle,9-2-0,"5' 11""",155 lbs.,--,,"Dec 07, 1980"
Ross Ebanez,20-10-0 (3 NC),"5' 9""",154 lbs.,--,Southpaw,"May 18, 1975"
Brian Ebersole,51-18-1 (1 NC),"6' 0""",170 lbs.,"73""",Southpaw,"Nov 27, 1980"
Roybert Echeverria,7-1-0,"5' 5""",125 lbs.,"67""",Switch,"Aug 21, 1995"
Mark Eddiva,6-3-0,"5' 8""",145 lbs.,"68""",Orthodox,"Feb 16, 1986"
Frankie Edgar,23-11-1,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 16, 1981"
Abdul-Kerim Edilov,17-4-0,"6' 2""",205 lbs.,--,Orthodox,"Nov 25, 1991"
Johnny Eduardo,28-13-0,"5' 7""",135 lbs.,"71""",Orthodox,"Aug 03, 1978"
Yves Edwards,42-22-1 (1 NC),"5' 9""",155 lbs.,"73""",Southpaw,"Sep 30, 1976"
Justin Edwards,9-5-0,"5' 10""",155 lbs.,"70""",Orthodox,"Jan 26, 1983"
Leon Edwards,22-3-0 (1 NC),"6' 2""",170 lbs.,"74""",Southpaw,"Aug 25, 1991"
Te Edwards,6-3-0,"5' 8""",155 lbs.,"72""",Orthodox,"Sep 11, 1990"
Adli Edwards,4-1-0,--,145 lbs.,--,,"Aug 28, 1989"
Joselyne Edwards,13-5-0,"5' 8""",135 lbs.,"70""",Orthodox,"Sep 29, 1995"
Tom Egan,7-5-0,"5' 11""",170 lbs.,--,Orthodox,--
Stephanie Egger,8-5-0,"5' 6""",135 lbs.,"68""",Orthodox,"Aug 12, 1988"
Justin Eilers,19-7-1,"6' 1""",235 lbs.,--,Orthodox,"Jun 28, 1978"
Jon Olav Einemo,6-3-0,"6' 6""",253 lbs.,--,Orthodox,"Dec 10, 1975"
Per Eklund,14-5-1,"5' 10""",155 lbs.,"72""",Orthodox,--
John Elam,2-0-0,--,--,--,,--
Evan Elder,8-2-0,"5' 10""",155 lbs.,"72""",Switch,"Apr 11, 1997"
John Paul Elias,3-1-0,"6' 4""",205 lbs.,--,,--
Joao Elias,17-4-1 (1 NC),"5' 3""",125 lbs.,"64""",Southpaw,"Jan 08, 1995"
Saul Elizondo,6-8-0,"5' 7""",135 lbs.,--,,"Jul 17, 1985"
Darren Elkins,28-11-0,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984"
Jake Ellenberger,31-15-0,"5' 9""",170 lbs.,"71""",Orthodox,"Mar 28, 1985"
Joe Ellenberger,15-2-0,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 28, 1985"
Tim Elliott,21-13-1,"5' 7""",125 lbs.,"66""",Southpaw,"Dec 24, 1986"
Oban Elliott,9-2-0,"6' 0""",170 lbs.,"72""",Orthodox,"Dec 19, 1997"
Eddy Ellis,21-16-1 (1 NC),"5' 9""",170 lbs.,--,Orthodox,--
Lisa Ellis,15-11-0,"5' 4""",115 lbs.,--,,"Nov 15, 1982"
Anna Elmose,3-2-0,"5' 3""",115 lbs.,--,Orthodox,"Oct 06, 1984"
Cameron Else,10-6-0,"5' 9""",135 lbs.,"71""",Switch,"Apr 27, 1987"
Aaron Ely,5-2-0,"5' 8""",135 lbs.,--,,"Mar 18, 1989"
Sovannahry Em,3-1-0,"5' 4""",135 lbs.,--,,"Jun 26, 1992"
Ramazan Emeev,20-6-0,"5' 10""",170 lbs.,"76""",Southpaw,"May 23, 1987"
Aleksander Emelianenko,23-7-0,"6' 6""",255 lbs.,--,Orthodox,"Aug 02, 1981"
Fedor Emelianenko,36-5-0 (1 NC),"6' 0""",230 lbs.,"74""",Orthodox,"Sep 28, 1976"
Rob Emerson,18-12-0 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,"Jul 30, 1981"
Jamall Emmers,20-7-0,"5' 10""",145 lbs.,"74""",Orthodox,"Jul 24, 1989"
Josh Emmett,19-4-0,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985"
Marius Enache,3-3-0,"5' 11""",155 lbs.,--,,"Oct 16, 1975"
Kevin Engel,5-1-0,"6' 2""",170 lbs.,--,,--
Kolton Englund,9-4-0,"5' 10""",155 lbs.,"69""",Orthodox,"Jul 09, 1993"
Oliver Enkamp,7-2-0,"6' 0""",170 lbs.,"77""",Switch,"Aug 10, 1991"
Alex Enlund,14-2-0 (1 NC),"5' 10""",145 lbs.,--,Orthodox,"May 27, 1987"
Kenny Ento,14-15-0,"6' 2""",192 lbs.,--,,--
Ian Entwistle,9-3-0,"5' 5""",135 lbs.,--,Orthodox,"Nov 19, 1986"
Andy Enz,10-4-0,"6' 3""",185 lbs.,"78""",Orthodox,"Aug 15, 1991"
Won Jin Eoh,5-5-1,"5' 7""",160 lbs.,--,Orthodox,--
Josh Epps,6-7-0,--,130 lbs.,--,,"Aug 23, 1986"
Steve Erceg,11-1-0,"5' 8""",125 lbs.,"68""",Orthodox,"Jul 27, 1995"
Tom Erikson,9-4-1,"6' 3""",280 lbs.,--,Orthodox,--
Konstantin Erokhin,9-3-0,"5' 11""",230 lbs.,--,Orthodox,"Jan 31, 1983"
Julian Erosa,28-12-0,"6' 1""",145 lbs.,"74""",Southpaw,"Jul 31, 1989"
Jarno Errens,13-5-1,"5' 11""",145 lbs.,"73""",Orthodox,"Nov 17, 1994"
Nick Ertl,8-6-0,"5' 9""",155 lbs.,--,,--
Chel Erwin-Davis,5-1-0,"6' 0""",170 lbs.,--,,--
Bobby Escalante,5-6-0,--,130 lbs.,--,,--
Eric Esch,15-10-1,"5' 11""",350 lbs.,--,Orthodox,"Aug 03, 1968"
Pro Escobedo,1-0-0,--,205 lbs.,--,,--
Cole Escovedo,17-9-0,"5' 7""",135 lbs.,"72""",Orthodox,"Aug 30, 1981"
Efrain Escudero,28-12-0,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 15, 1986"
Evan Esguerra,8-7-0 (1 NC),--,145 lbs.,--,,--
Carla Esparza,20-7-0,"5' 1""",115 lbs.,"63""",Orthodox,"Oct 10, 1987"
Juan Espino,11-2-0,"6' 3""",255 lbs.,"80""",Orthodox,"Oct 09, 1980"
Jordan Espinosa,15-9-0 (1 NC),"5' 6""",125 lbs.,"69""",Orthodox,"Nov 08, 1989"
Jodie Esquibel,6-6-0,"5' 1""",115 lbs.,"64""",Orthodox,"May 07, 1986"
Rafael Estevam,12-0-0,"5' 8""",125 lbs.,"69""",Orthodox,"Aug 10, 1996"
Achilles Estremadura,7-1-0,"5' 10""",155 lbs.,"68""",Orthodox,"Mar 11, 1992"
Shaun Etchell,7-3-0,"5' 7""",125 lbs.,"68""",Switch,"Aug 05, 1993"
Terry Etim,16-5-0,"6' 1""",155 lbs.,"73""",Orthodox,"Jan 11, 1986"
Fred Ettish,1-1-0,"6' 0""",180 lbs.,--,Southpaw,--
Scott Ettling,4-2-0,--,135 lbs.,--,,--
Sijara Eubanks,8-7-0,"5' 4""",125 lbs.,"67""",Orthodox,"Apr 27, 1985"
Billy Evangelista,13-3-0 (1 NC),"5' 8""",155 lbs.,"68""",Orthodox,"Oct 07, 1980"
Rashad Evans,19-8-1,"6' 0""",205 lbs.,"75""",Orthodox,"Sep 25, 1979"
Doug Evans,13-10-0,"5' 9""",155 lbs.,--,Orthodox,"Oct 10, 1980"
Ashlee Evans-Smith,6-6-0,"5' 8""",135 lbs.,"67""",Orthodox,"Jul 09, 1987"
Dan Evensen,11-4-0,"6' 3""",250 lbs.,--,Orthodox,"Jun 01, 1974"
Tonya Evinger,19-8-0 (1 NC),"5' 7""",135 lbs.,"70""",Orthodox,"Jun 04, 1981"
Movsar Evloev,18-0-0,"5' 7""",145 lbs.,"72""",Orthodox,"Feb 11, 1994"
Andre Ewell,17-9-0,"5' 8""",145 lbs.,"75""",Southpaw,"Jan 21, 1988"
Neal Ewing,6-0-0,--,185 lbs.,--,,"Sep 30, 1985"
Jessica Eye,15-11-0 (1 NC),"5' 6""",125 lbs.,"66""",Orthodox,"Jul 27, 1986"
Edward Faaloloto,2-5-0,--,155 lbs.,"70""",Orthodox,"Jul 15, 1984"
Urijah Faber,35-11-0,"5' 6""",135 lbs.,"67""",Orthodox,"May 14, 1979"
Melinda Fabian,4-4-2,"5' 6""",125 lbs.,"66""",Orthodox,"Jun 25, 1987"
Wagnney Fabiano,16-4-0,"5' 6""",145 lbs.,"69""",Southpaw,"Jul 14, 1975"
Bartosz Fabinski,15-5-0,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1986"
Ron Faircloth,33-20-0 (1 NC),"5' 9""",205 lbs.,--,Orthodox,"Aug 16, 1979"
Jason Fairn,4-5-0,"6' 1""",230 lbs.,--,,--
Zarah Fairn,6-6-0,"5' 8""",135 lbs.,"72""",Orthodox,"Dec 10, 1983"
Rinat Fakhretdinov,21-1-1,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 28, 1991"
Maiquel Falcao,37-10-0 (1 NC),"5' 11""",185 lbs.,--,Orthodox,"Mar 08, 1981"
Pedro Falcao,15-3-0,"5' 6""",135 lbs.,"66""",Orthodox,"Jul 30, 1992"
Brodie Farber,16-7-0,"6' 1""",170 lbs.,--,Orthodox,"Jul 05, 1980"
Joao Paulo Faria,1-1-0,"5' 9""",155 lbs.,--,,--
Kalindra Faria,18-8-1,"5' 7""",125 lbs.,--,Switch,"Jul 23, 1986"
Jair Farias,10-1-0,"6' 1""",145 lbs.,"76""",Orthodox,"Mar 16, 1993"
Chance Farrar,8-3-0 (1 NC),"5' 9""",145 lbs.,--,Southpaw,"Sep 11, 1975"
Rico Farrington,7-3-0,"6' 4""",170 lbs.,"79""",Southpaw,"Jun 19, 1989"
Kelly Faszholz,4-2-0,"5' 8""",135 lbs.,--,Orthodox,"Apr 09, 1985"
Rodney Faverus,25-20-3 (1 NC),"6' 0""",215 lbs.,--,Southpaw,--
Paul Felder,17-6-0,"5' 11""",155 lbs.,"70""",Orthodox,"Apr 25, 1984"
Carlos Felipe,11-2-0,"6' 0""",245 lbs.,"75""",Orthodox,"Jan 12, 1995"
JP Felty,4-5-0,--,170 lbs.,--,,"Apr 28, 1979"
Feng Pengchao,15-9-1,--,135 lbs.,--,,--
Kevin Ferguson,5-2-0 (1 NC),"6' 2""",235 lbs.,"77""",Orthodox,"Feb 08, 1974"
Rhadi Ferguson,3-0-0,"5' 7""",205 lbs.,--,,--
Tony Ferguson,26-10-0,"5' 11""",155 lbs.,"76""",Orthodox,"Feb 12, 1984"
Josh Ferguson,10-5-0,"5' 5""",125 lbs.,--,Orthodox,"May 13, 1988"
CJ Fernandes,14-8-3,"6' 2""",170 lbs.,--,,"Nov 13, 1977"
Bibiano Fernandes,20-3-0,"5' 7""",139 lbs.,--,Orthodox,"Mar 30, 1980"
Gabriella Fernandes,8-3-0,"5' 6""",125 lbs.,"66""",Southpaw,"Aug 13, 1993"
Kaue Fernandes,8-2-0,"5' 9""",155 lbs.,"73""",Orthodox,"Mar 17, 1995"
Emily Fernandez,0-0-0,--,--,--,,--
Lucas Fernando,9-2-0,"6' 3""",185 lbs.,"80""",,"Jan 10, 1997"
Alexandre Ferreira,18-6-0,"5' 7""",205 lbs.,--,Orthodox,"Apr 25, 1979"
Cezar Ferreira,13-8-0,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985"
Diego Ferreira,18-5-0,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985"
Erisson Ferreira,12-2-0,"5' 6""",125 lbs.,"70""",Orthodox,"May 03, 1991"
Brunno Ferreira,11-1-0,"5' 10""",185 lbs.,"72""",Orthodox,"Nov 04, 1992"
Scott Ferrozzo,4-2-0,"5' 11""",323 lbs.,--,Orthodox,"Apr 26, 1965"
Timo Feucht,8-1-0,"6' 3""",205 lbs.,"79""",Orthodox,"Jan 18, 1996"
Andre Fialho,16-8-0 (1 NC),"6' 0""",170 lbs.,"74""",Orthodox,"Apr 07, 1994"
Drew Fickett,42-21-0,"5' 10""",155 lbs.,"70""",Orthodox,"Dec 14, 1979"
Scott Fiedler,0-1-0,"6' 4""",235 lbs.,--,Orthodox,--
Ron Fields,28-32-1,"6' 2""",200 lbs.,--,Orthodox,"Nov 18, 1974"
Michal Figlak,8-1-0,"5' 10""",155 lbs.,"70""",Orthodox,"Aug 15, 1996"
Deiveson Figueiredo,22-3-1,"5' 5""",135 lbs.,"68""",Orthodox,"Dec 18, 1987"
Francisco Figueiredo,13-5-1 (1 NC),"5' 6""",125 lbs.,"68""",Southpaw,"Oct 23, 1989"
Anthony Figueroa,11-8-1,"5' 4""",135 lbs.,--,Orthodox,--
Edwin Figueroa,9-5-0,"5' 7""",135 lbs.,"69""",Orthodox,"Jul 31, 1984"
Paulo Filho,23-6-3,"5' 8""",185 lbs.,--,Southpaw,"May 24, 1978"
Jafel Filho,15-3-0,"5' 7""",125 lbs.,"68""",Orthodox,"May 05, 1993"
Andre Fili,23-10-0 (1 NC),"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990"
Mirko Filipovic,35-11-2 (1 NC),"6' 2""",230 lbs.,"73""",Southpaw,"Sep 10, 1974"
